symbol,ensembl,chromosome,initPos,finalPos,idGene
FBXL4,ENSG00000112234,6,98868535,98948006,
SMARCE1,ENSG00000073584,17,40624962,40648654,
ADCY3,ENSG00000138031,2,24819169,24919839,
MYL4,ENSG00000198336,17,47200446,47223679,
APOL1,ENSG00000100342,22,36253010,36267530,
NEFL,ENSG00000277586,8,24950955,24957110,
NLN,ENSG00000123213,5,65722205,65871725,
EHMT1,ENSG00000181090,9,137618992,137870016,
CNTNAP2,ENSG00000174469,7,146116002,148420998,
BCAP31,ENSG00000185825,X,153700492,153724565,
RBM10,ENSG00000182872,X,47145221,47186813,
LDHA,ENSG00000134333,11,18394560,18408425,
MTM1,ENSG00000171100,X,150568619,150673322,
PLAA,ENSG00000137055,9,26903372,26947242,
BCL11B,ENSG00000127152,14,99169287,99272197,
IER3,ENSG00000206478,CHR_HSCHR6_MHC_QBL_CTG1,30732716,30734071,
MOGS,ENSG00000115275,2,74461057,74465410,
GYS1,ENSG00000104812,19,48968130,48993310,
KIF5C,ENSG00000168280,2,148875227,149026759,
CASR,ENSG00000036828,3,122183683,122291629,
SPEG,ENSG00000072195,2,219434843,219493629,
LRSAM1,ENSG00000148356,9,127451486,127503501,
COG6,ENSG00000133103,13,39655627,39791665,
TPI1,ENSG00000111669,12,6867119,6870948,
FANCE,ENSG00000112039,6,35452338,35467102,
JPH1,ENSG00000104369,8,74234700,74321540,
LGR4,ENSG00000205213,11,27365961,27472790,
MBOAT7,ENSG00000273592,CHR_HSCHR19LRC_PGF1_CTG3_1,54173824,54190479,
FGF1,ENSG00000113578,5,142592178,142698070,
SLC40A1,ENSG00000138449,2,189560579,189583758,
TSHZ1,ENSG00000179981,18,75210755,75289950,
ANO3,ENSG00000134343,11,26188842,26663289,
TAP1,ENSG00000226173,CHR_HSCHR6_MHC_MANN_CTG1,32998969,33007738,
FAS,ENSG00000026103,10,88990531,89017059,
MOG,ENSG00000232641,CHR_HSCHR6_MHC_MCF_CTG1,29656787,29672153,
LTA,ENSG00000226275,CHR_HSCHR6_MHC_MCF_CTG1,31648357,31650629,
AXIN1,ENSG00000103126,16,287440,352723,
UGT2B17,ENSG00000197888,4,68537184,68568527,
PTF1A,ENSG00000168267,10,23192312,23194245,
STAT2,ENSG00000170581,12,56341597,56360167,
TRPC6,ENSG00000137672,11,101451564,101872562,
IL31RA,ENSG00000164509,5,55851357,55922854,
RUNX1,ENSG00000159216,21,34787801,36004667,
NFE2,ENSG00000123405,12,54292111,54301015,
GNB1,ENSG00000078369,1,1785285,1891117,
C2,ENSG00000204364,CHR_HSCHR6_MHC_MANN_CTG1,31959563,31985058,
CAPN1,ENSG00000014216,11,65180566,65212006,
SLC44A4,ENSG00000235336,CHR_HSCHR6_MHC_APD_CTG1,31930215,31946068,
POFUT1,ENSG00000101346,20,32207880,32238658,
IGF2BP2,ENSG00000073792,3,185643739,185825056,
ATP6V1A,ENSG00000114573,3,113747033,113812056,
PPL,ENSG00000118898,16,4882507,4960741,
PCDH12,ENSG00000113555,5,141943585,141969741,
GREB1,ENSG00000196208,2,11482341,11642788,
UBA5,ENSG00000081307,3,132654446,132678097,
TGFB1,ENSG00000105329,19,41301587,41353922,
INVS,ENSG00000119509,9,100099243,100302175,
SMS,ENSG00000102172,X,21940709,21994837,
HLA-DRB1,ENSG00000228080,CHR_HSCHR6_MHC_SSTO_CTG1,32670593,32703817,
SOX11,ENSG00000176887,2,5692384,5701385,
ABCA7,ENSG00000064687,19,1039997,1065572,
PKD1,ENSG00000008710,16,2088708,2135898,
AP4B1,ENSG00000134262,1,113894194,113905201,
ADRB1,ENSG00000043591,10,114043866,114046904,
CXorf56,ENSG00000018610,X,119538149,119565408,
SUCLA2,ENSG00000136143,13,47745736,48037968,
GMPPA,ENSG00000144591,2,219498867,219506989,
NDUFA6,ENSG00000277365,CHR_HSCHR22_3_CTG1,42085525,42090955,
UFC1,ENSG00000143222,1,161152776,161158856,
KANSL1,ENSG00000120071,17,46029916,46225389,
KRT25,ENSG00000204897,17,40748021,40755331,
IGHMBP2,ENSG00000132740,11,68903842,68940602,
FLG,ENSG00000143631,1,152302165,152325239,
HBA1,ENSG00000206172,16,176680,177522,
PHGDH,ENSG00000092621,1,119648411,119744226,
VMA21,ENSG00000160131,X,151396515,151409364,
NOTCH3,ENSG00000074181,19,15159038,15200995,
NCR1,ENSG00000277629,CHR_HSCHR19LRC_LRC_J_CTG3_1,54939296,54946235,
RARA,ENSG00000131759,17,40309180,40357643,
SLC25A26,ENSG00000144741,3,66133610,66388116,
GEM,ENSG00000164949,8,94249253,94262350,
CAPN5,ENSG00000149260,11,77066961,77126155,
PMPCA,ENSG00000165688,9,136410641,136423761,
TNF,ENSG00000232810,6,31575565,31578336,
LYL1,ENSG00000104903,19,13099033,13103161,
KLLN,ENSG00000227268,10,87859158,87863437,
LNPK,ENSG00000144320,2,175923882,176002839,
ERCC6L2,ENSG00000182150,9,95871264,96121154,
KRT71,ENSG00000139648,12,52543909,52553145,
NMB,ENSG00000197696,15,84655129,84658563,
GNAT2,ENSG00000134183,1,109603254,109619929,
SLC1A3,ENSG00000079215,5,36606355,36688334,
CTSA,ENSG00000064601,20,45890144,45898820,
TCL1A,ENSG00000100721,14,95709947,95714196,
GTPBP1,ENSG00000100226,22,38705742,38738299,
ACTN4,ENSG00000130402,19,38647649,38731589,
FASTKD2,ENSG00000118246,2,206765357,206796189,
TBX22,ENSG00000277800,CHR_HSCHRX_2_CTG12,80027033,80044046,
LRRC8A,ENSG00000136802,9,128882112,128918039,
ZNF423,ENSG00000102935,16,49487524,49857919,
RBPJ,ENSG00000168214,4,26163455,26435131,
JAGN1,ENSG00000171135,3,9890574,9894349,
HLA-A,ENSG00000231834,CHR_HSCHR6_MHC_MANN_CTG1,29930208,29934849,
CNPY3,ENSG00000137161,6,42929192,42939294,
SERPINI1,ENSG00000163536,3,167735243,167825568,
RBM28,ENSG00000106344,7,128297685,128343908,
PSMB8,ENSG00000235715,CHR_HSCHR6_MHC_COX_CTG1,32763034,32767021,
SPTLC1,ENSG00000090054,9,92000087,92115413,
PIK3R2,ENSG00000105647,19,18153163,18170532,
GLDN,ENSG00000186417,15,51341655,51408005,
HCN1,ENSG00000164588,5,45254948,45696498,
GLS,ENSG00000115419,2,190880821,190965552,
CEACAM1,ENSG00000079385,19,42507304,42561234,
GSS,ENSG00000100983,20,34928432,34956027,
SPRY4,ENSG00000187678,5,142310427,142326455,
CEP104,ENSG00000116198,1,3812086,3857214,
EDARADD,ENSG00000186197,1,236348257,236502915,
PACS2,ENSG00000179364,14,105300563,105398147,
PARN,ENSG00000140694,16,14435700,14632728,
CYP2U1,ENSG00000155016,4,107931549,107953461,
FDFT1,ENSG00000284967,CHR_HG76_PATCH,8113504,8150080,
NECAP1,ENSG00000089818,12,8076939,8097881,
XG,ENSG00000124343,X,2752048,2816500,
SLC7A1,ENSG00000139514,13,29509414,29595688,
EPCAM,ENSG00000119888,2,47345158,47387601,
SRCAP,ENSG00000080603,16,30698209,30741409,
SATB2,ENSG00000119042,2,199269500,199471266,
STT3A,ENSG00000134910,11,125591712,125625215,
SCAP,ENSG00000114650,3,47413681,47477126,
PCK2,ENSG00000285241,CHR_HG1_PATCH,24094052,24110597,
PTCH2,ENSG00000117425,1,44819844,44843253,
LTB,ENSG00000206437,CHR_HSCHR6_MHC_QBL_CTG1,31570783,31572750,
FOXP2,ENSG00000128573,7,114086327,114693772,
TBXT,ENSG00000164458,6,166157656,166168700,
CHIC2,ENSG00000109220,4,54009789,54064605,
ID2,ENSG00000115738,2,8678845,8684461,
MYLK2,ENSG00000101306,20,31819308,31834689,
ZFY,ENSG00000067646,Y,2935281,2982506,
GP6,ENSG00000277439,CHR_HSCHR19_4_CTG3_1,55021820,55046379,
DNAAF3,ENSG00000167646,19,55158661,55166722,
BHLHE41,ENSG00000123095,12,26120030,26125037,
GRIN2B,ENSG00000273079,12,13437942,13981957,
SOST,ENSG00000167941,17,43753738,43758791,
SLC1A2,ENSG00000110436,11,35251205,35420063,
IFITM5,ENSG00000206013,11,298200,299526,
TMCO1,ENSG00000143183,1,165724293,165827755,
FANCB,ENSG00000181544,X,14835961,14873069,
SERPINB8,ENSG00000166401,18,63970029,64019779,
NUP37,ENSG00000075188,12,102073103,102120120,
SOBP,ENSG00000112320,6,107490106,107661306,
PADI6,ENSG00000280949,CHR_HG2095_PATCH,17374905,17404408,
NFKBIL1,ENSG00000236196,CHR_HSCHR6_MHC_DBB_CTG1,31529043,31540993,
C4B,ENSG00000228267,CHR_HSCHR6_MHC_COX_CTG1,31969570,31983859,
CAP1,ENSG00000131236,1,40040233,40072649,
HINT1,ENSG00000169567,5,131159027,131171735,
TERT,ENSG00000164362,5,1253147,1295068,
PDCD1,ENSG00000188389,2,241849884,241858894,
PPP2R2B,ENSG00000156475,5,146581146,147084784,
CYP2A6,ENSG00000255974,19,40843541,40850447,
ODAPH,ENSG00000174792,4,75556048,75565885,
HMGA1,ENSG00000137309,6,34236873,34246231,
XCL1,ENSG00000143184,1,168576605,168582069,
GNB4,ENSG00000114450,3,179396088,179451476,
VPS11,ENSG00000280616,CHR_HG2217_PATCH,119067691,119081977,
LMBR1,ENSG00000105983,7,156668946,156893216,
HOXD10,ENSG00000128710,2,176108790,176119942,
LAMA2,ENSG00000196569,6,128883141,129516569,
SLC9A9,ENSG00000181804,3,143265222,143848485,
CEP135,ENSG00000174799,4,55948871,56033361,
BCO1,ENSG00000135697,16,81238689,81291142,
ERCC3,ENSG00000163161,2,127257290,127294166,
COL4A2,ENSG00000134871,13,110305812,110513209,
OCA2,ENSG00000277361,CHR_HSCHR15_4_CTG8,27871154,28099370,
PRDM8,ENSG00000152784,4,80183879,80204329,
GJB3,ENSG00000188910,1,34781214,34786369,
TUBB3,ENSG00000258947,16,89921392,89938761,
ESPN,ENSG00000187017,1,6424776,6461367,
RORA,ENSG00000069667,15,60488284,61229302,
LSM7,ENSG00000130332,19,2321520,2328611,
GCH1,ENSG00000131979,14,54842008,54902826,
DDX3X,ENSG00000215301,X,41333284,41364472,
RNF43,ENSG00000108375,17,58352500,58417595,
TECPR2,ENSG00000196663,14,102362941,102502477,
HK1,ENSG00000156515,10,69269984,69401884,
MDC1,ENSG00000224587,CHR_HSCHR6_MHC_COX_CTG1,30689666,30707748,
BBS2,ENSG00000125124,16,56466836,56520087,
SEMA7A,ENSG00000138623,15,74409289,74433958,
TCIRG1,ENSG00000110719,11,68039025,68050895,
OFD1,ENSG00000046651,X,13734745,13769357,
BPTF,ENSG00000171634,17,67825503,67984378,
RRAS,ENSG00000126458,19,49635292,49640143,
GATM,ENSG00000171766,15,45361124,45402327,
C6,ENSG00000039537,5,41142234,41261438,
SLC27A4,ENSG00000167114,9,128340527,128361470,
MCM3,ENSG00000112118,6,52264014,52284881,
IDH2,ENSG00000182054,15,90083045,90102504,
WDR73,ENSG00000177082,15,84639281,84654343,
SF3B1,ENSG00000115524,2,197388515,197435091,
KDM6A,ENSG00000147050,X,44873177,45112602,
SOX18,ENSG00000203883,20,64047582,64049639,
CRYGC,ENSG00000285011,CHR_HSCHR2_8_CTG7_2,208134278,208135969,
ZNF687,ENSG00000143373,1,151281618,151292176,
HLA-G,ENSG00000206506,CHR_HSCHR6_MHC_QBL_CTG1,29824140,29828314,
BHLHA9,ENSG00000205899,17,1270559,1271460,
MFAP5,ENSG00000197614,12,8637346,8662888,
CRYGS,ENSG00000213139,3,186538441,186546702,
CPT1A,ENSG00000110090,11,68754620,68844410,
SPECC1L,ENSG00000100014,22,24270817,24417739,
CLPP,ENSG00000125656,19,6361531,6370242,
JAK3,ENSG00000105639,19,17824780,17848071,
CDKL5,ENSG00000008086,X,18425583,18653629,
DNAJC2,ENSG00000105821,7,103312289,103344830,
ATL3,ENSG00000184743,11,63624087,63671921,
TBC1D2,ENSG00000095383,9,98199011,98255649,
TSEN2,ENSG00000154743,3,12484432,12539623,
PDHB,ENSG00000168291,3,58427630,58433857,
RGS9BP,ENSG00000186326,19,32675848,32678300,
SIL1,ENSG00000120725,5,138946724,139293557,
PABPN1,ENSG00000100836,14,23321289,23326185,
GFI1B,ENSG00000165702,9,132944000,132991687,
BCL2,ENSG00000171791,18,63123346,63320128,
SHB,ENSG00000107338,9,37915898,38069227,
OCLN,ENSG00000273814,CHR_HSCHR5_2_CTG1_1,69492007,69556424,
NDE1,ENSG00000072864,16,15643267,15726353,
SEMA3A,ENSG00000075213,7,83955777,84492724,
HSD17B1,ENSG00000108786,17,42549214,42555213,
PLD3,ENSG00000105223,19,40348456,40380439,
KLHL40,ENSG00000157119,3,42685537,42692544,
ALG10B,ENSG00000175548,12,38316762,38329721,
CYP2R1,ENSG00000186104,11,14877440,14892252,
PIK3CD,ENSG00000171608,1,9651731,9729114,
F5,ENSG00000198734,1,169511951,169586588,
EDNRB,ENSG00000136160,13,77895481,77975529,
FHL1,ENSG00000022267,X,136146702,136211359,
BCKDHB,ENSG00000083123,6,80106647,80346270,
STXBP1,ENSG00000136854,9,127579370,127696027,
DES,ENSG00000175084,2,219418377,219426734,
TRMT1,ENSG00000104907,19,13104902,13117567,
KIR3DL1,ENSG00000274146,CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1,54802891,54817199,
GAS2,ENSG00000148935,11,22625509,22813055,
NDP,ENSG00000124479,X,43948776,43973395,
COL4A6,ENSG00000197565,X,108155607,108439497,
EFS,ENSG00000100842,14,23356403,23365752,
LTBP2,ENSG00000119681,14,74498183,74612378,
ALDH6A1,ENSG00000119711,14,74056847,74084492,
RAB33B,ENSG00000172007,4,139453232,139476609,
FKBP10,ENSG00000141756,17,41812680,41823213,
GYPA,ENSG00000170180,4,144109303,144140751,
DDOST,ENSG00000244038,1,20651767,20661544,
NPHP3,ENSG00000113971,3,132680609,132722414,
ATM,ENSG00000149311,11,108222484,108369102,
ADAMTS17,ENSG00000140470,15,99971437,100342005,
C1QA,ENSG00000173372,1,22636628,22639678,
CPOX,ENSG00000080819,3,98579446,98593648,
VIPAS39,ENSG00000151445,14,77426675,77457952,
UCHL1,ENSG00000154277,4,41256413,41268455,
ROBO3,ENSG00000154134,11,124865432,124881471,
GREB1L,ENSG00000141449,18,21242242,21525417,
LAD1,ENSG00000159166,1,201380833,201399915,
NUBPL,ENSG00000151413,14,31489956,31861224,
TBK1,ENSG00000183735,12,64452092,64502114,
LEP,ENSG00000174697,7,128241278,128257629,
IFNAR2,ENSG00000159110,21,33229901,33265675,
DDX11,ENSG00000013573,12,31073860,31104799,
PON1,ENSG00000005421,7,95297676,95324532,
TMEM126B,ENSG00000171204,11,85628573,85636539,
CCL3L1,ENSG00000277796,CHR_HSCHR17_10_CTG4,36194906,36196795,
ZNF142,ENSG00000115568,2,218637916,218659655,
ARF1,ENSG00000143761,1,228082660,228099212,
CYP21A2,ENSG00000206338,CHR_HSCHR6_MHC_QBL_CTG1,31850614,31999312,
DDX1,ENSG00000079785,2,15591178,15631111,
FSHB,ENSG00000131808,11,30231016,30235261,
TAP2,ENSG00000223481,CHR_HSCHR6_MHC_DBB_CTG1,32799958,32816755,
PCDH19,ENSG00000165194,X,100291644,100410273,
TTL,ENSG00000114999,2,112482156,112541739,
KIF1C,ENSG00000129250,17,4997950,5028401,
TTI2,ENSG00000129696,8,33473386,33513601,
NTRK1,ENSG00000198400,1,156815640,156881850,
SKIV2L,ENSG00000223493,CHR_HSCHR6_MHC_DBB_CTG1,31941262,31951933,
RNASEL,ENSG00000135828,1,182573634,182589256,
TUT4,ENSG00000134744,1,52408282,52553487,
SUN5,ENSG00000167098,20,32983773,33004433,
NHS,ENSG00000188158,X,17375420,17735994,
LPAR6,ENSG00000139679,13,48389567,48444704,
ALG3,ENSG00000214160,3,184242301,184249548,
FAM20A,ENSG00000108950,17,68535113,68601367,
CTH,ENSG00000116761,1,70411218,70439851,
SMPD1,ENSG00000166311,11,6390440,6394998,
HLCS,ENSG00000159267,21,36750888,36990236,
NACC1,ENSG00000160877,19,13116862,13141147,
MAPT,ENSG00000186868,17,45894382,46028334,
GP9,ENSG00000169704,3,129060767,129062406,
FOXG1,ENSG00000176165,14,28766787,28770277,
NCAPD2,ENSG00000010292,12,6493356,6531955,
GLI3,ENSG00000106571,7,41960949,42237870,
PTPN11,ENSG00000179295,12,112418351,112509913,
PNKP,ENSG00000039650,19,49859882,49878351,
MYLK,ENSG00000065534,3,123610049,123884331,
SCN4B,ENSG00000177098,11,118133377,118152888,
PRKDC,ENSG00000253729,8,47773111,47960178,
IFT52,ENSG00000101052,20,43590937,43647299,
TRAPPC2L,ENSG00000167515,16,88856220,88862686,
TAF2,ENSG00000064313,8,119730774,119832841,
ITGB4,ENSG00000132470,17,75721328,75757818,
SET,ENSG00000119335,9,128683424,128696400,
C1QB,ENSG00000173369,1,22652762,22661637,
CXCR4,ENSG00000121966,2,136114349,136118149,
MED1,ENSG00000125686,17,39404285,39451272,
AP2S1,ENSG00000042753,19,46838136,46850992,
UQCRC2,ENSG00000140740,16,21953288,21983660,
BTNL2,ENSG00000204290,6,32393963,32407128,
DSE,ENSG00000111817,6,116254173,116444861,
KSR2,ENSG00000171435,12,117453012,117968990,
MAD1L1,ENSG00000002822,7,1815793,2233243,
HLA-DRB1,ENSG00000196126,6,32578769,32589848,
EXT2,ENSG00000151348,11,44095673,44251981,
NSDHL,ENSG00000147383,X,152830967,152869729,
SLC35C1,ENSG00000181830,11,45804072,45813016,
SHF,ENSG00000138606,15,45167214,45201175,
EXOSC2,ENSG00000130713,9,130693721,130704894,
RAD50,ENSG00000113522,5,132556019,132646349,
KRT3,ENSG00000186442,12,52789685,52796117,
INA,ENSG00000148798,10,103277138,103290346,
TEX15,ENSG00000133863,8,30831544,30913003,
PEX12,ENSG00000108733,17,35574795,35578863,
REM2,ENSG00000139890,14,22883222,22887678,
FAM111A,ENSG00000166801,11,59142748,59155039,
ARL2BP,ENSG00000102931,16,57245259,57253635,
CDHR1,ENSG00000148600,10,84194537,84219621,
SH2D1A,ENSG00000183918,X,124227868,124373197,
MOG,ENSG00000237834,CHR_HSCHR6_MHC_COX_CTG1,29653572,29668964,
CER1,ENSG00000147869,9,14719724,14722733,
CIDEC,ENSG00000187288,3,9866711,9880254,
COG8,ENSG00000213380,16,69320140,69339667,
TBX5,ENSG00000089225,12,114353931,114408442,
NDUFS3,ENSG00000213619,11,47565336,47584562,
IL3,ENSG00000164399,5,132060655,132063204,
COA7,ENSG00000162377,1,52684449,52698347,
MAPRE2,ENSG00000166974,18,34976928,35143470,
SLC22A4,ENSG00000197208,5,132294394,132344190,
HLA-B,ENSG00000232126,CHR_HSCHR6_MHC_MCF_CTG1,31346626,31433637,
TAF4,ENSG00000280529,CHR_HSCHR20_1_CTG2,61950345,62005079,
GCSH,ENSG00000140905,16,81081945,81096395,
PTEN,ENSG00000284792,CHR_HG2334_PATCH,87863440,87966341,
GRXCR2,ENSG00000204928,5,145858521,145937126,
AHI1,ENSG00000135541,6,135283532,135497765,
SOD3,ENSG00000109610,4,24789912,24800842,
RPA1,ENSG00000132383,17,1829702,1900082,
ACSL6,ENSG00000164398,5,131949973,132012243,
MTMR1,ENSG00000063601,X,150692971,150765108,
A2ML1,ENSG00000166535,12,8822621,8887001,
KIZ,ENSG00000088970,20,21125983,21246622,
ALX3,ENSG00000156150,1,110059870,110070672,
HUWE1,ENSG00000086758,X,53532096,53686728,
KIR3DL1,ENSG00000283827,CHR_HSCHR19KIR_7191059-1_CTG3_1,54816481,54830792,
DNAH5,ENSG00000039139,5,13690331,13944543,
IST1,ENSG00000182149,16,71845996,71931199,
LIMS2,ENSG00000072163,2,127638381,127681786,
C2,ENSG00000166278,6,31897785,31945672,
HNMT,ENSG00000150540,2,137964020,138016364,
PTPRF,ENSG00000142949,1,43525187,43623666,
KRT75,ENSG00000170454,12,52424070,52434371,
CCNK,ENSG00000090061,14,99481169,99535044,
ARMC5,ENSG00000140691,16,31458080,31467166,
GAMT,ENSG00000130005,19,1397026,1401570,
NIN,ENSG00000100503,14,50719763,50831121,
MYF5,ENSG00000111049,12,80716912,80719671,
LOX,ENSG00000113083,5,122063195,122078360,
DUOXA2,ENSG00000140274,15,45114326,45118421,
SKIV2L,ENSG00000204351,6,31959117,31969751,
PDCD10,ENSG00000114209,3,167683298,167734939,
BMX,ENSG00000102010,X,15464246,15556529,
STIL,ENSG00000123473,1,47250139,47314147,
KCNH1,ENSG00000143473,1,210676823,211134165,
PRPF6,ENSG00000101161,20,63981132,64033100,
AP3B1,ENSG00000132842,5,78000525,78294755,
NADK,ENSG00000008130,1,1751232,1780457,
ARHGAP31,ENSG00000031081,3,119294383,119420714,
PLN,ENSG00000198523,6,118548296,118561716,
MPI,ENSG00000178802,15,74890005,74902219,
PCDH1,ENSG00000156453,5,141853111,141879246,
VARS2,ENSG00000230985,CHR_HSCHR6_MHC_DBB_CTG1,30904916,30917183,
PRKD1,ENSG00000184304,14,29576479,30191898,
NT5C2,ENSG00000076685,10,103088017,103193306,
ENO1,ENSG00000074800,1,8861000,8879190,
TNNI3,ENSG00000129991,19,55151767,55157773,
IL7R,ENSG00000168685,5,35852695,35879603,
TRMT10A,ENSG00000145331,4,99546709,99564039,
NOS1,ENSG00000089250,12,117208142,117452170,
NDUFA13,ENSG00000186010,19,19515736,19529054,
HBA2,ENSG00000188536,16,172876,173710,
TRAF3,ENSG00000131323,14,102777449,102911500,
ACAD8,ENSG00000151498,11,134253495,134265855,
COQ4,ENSG00000167113,9,128322544,128334072,
TBCK,ENSG00000145348,4,106041599,106316683,
CYP7B1,ENSG00000172817,8,64587763,64798737,
PHEX,ENSG00000102174,X,22032325,22251310,
AQP3,ENSG00000165272,9,33441156,33447596,
CLRN1,ENSG00000163646,3,150926163,150972999,
KIR3DL1,ENSG00000273518,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54816451,54830756,
BCR,ENSG00000186716,22,23179704,23318037,
SMIM1,ENSG00000235169,1,3772761,3775982,
SELE,ENSG00000007908,1,169722640,169764705,
CACNB2,ENSG00000165995,10,18140677,18543557,
C8A,ENSG00000157131,1,56854797,56918223,
WDR6,ENSG00000178252,3,49007062,49015953,
ELANE,ENSG00000277571,CHR_HSCHR19_5_CTG2,851006,856290,
LPO,ENSG00000167419,17,58218548,58268518,
PKP1,ENSG00000081277,1,201283452,201332993,
MSH5,ENSG00000235569,CHR_HSCHR6_MHC_QBL_CTG1,31730217,31751987,
DCX,ENSG00000077279,X,111293779,111412429,
DPM3,ENSG00000179085,1,155139891,155140595,
ARCN1,ENSG00000095139,11,118572390,118603033,
PAX1,ENSG00000125813,20,21705659,21718486,
CCND2,ENSG00000118971,12,4273762,4305353,
SMAD6,ENSG00000137834,15,66702236,66782849,
NRL,ENSG00000285493,CHR_HG1_PATCH,24080106,24115013,
TOP3A,ENSG00000177302,17,18271428,18315007,
RASGRP2,ENSG00000068831,11,64726911,64745456,
CA8,ENSG00000178538,8,60185412,60281400,
DLG3,ENSG00000082458,X,70444835,70505490,
AQP5,ENSG00000161798,12,49961872,49965682,
STAT5B,ENSG00000173757,17,42199177,42276707,
PPP1R15B,ENSG00000158615,1,204403381,204411817,
UBE3B,ENSG00000151148,12,109477402,109536705,
TAP1,ENSG00000227816,CHR_HSCHR6_MHC_APD_CTG1,32884481,32893250,
VWA3B,ENSG00000168658,2,98087116,98313299,
GAS2L2,ENSG00000270765,17,35744511,35752878,
HLA-DQA1,ENSG00000206305,CHR_HSCHR6_MHC_QBL_CTG1,32570792,32577071,
TFAP2A,ENSG00000137203,6,10393186,10419659,
C4A,ENSG00000244207,CHR_HSCHR6_MHC_DBB_CTG1,31964204,31984862,
HSPA9,ENSG00000113013,5,138553756,138575416,
DLC1,ENSG00000164741,8,13083361,13604610,
NUP62,ENSG00000213024,19,49906825,49929763,
RPL27,ENSG00000131469,17,42998273,43002959,
PRKACG,ENSG00000165059,9,69012529,69014113,
HLA-G,ENSG00000230413,CHR_HSCHR6_MHC_COX_CTG1,29820648,29824817,
IHH,ENSG00000163501,2,219054424,219060921,
CHAT,ENSG00000070748,10,49609095,49665104,
HLA-G,ENSG00000235680,CHR_HSCHR6_MHC_MANN_CTG1,29823861,29828018,
MSRB3,ENSG00000174099,12,65278643,65491430,
PEX3,ENSG00000034693,6,143450805,143490616,
MEGF10,ENSG00000145794,5,127290796,127465737,
B4GALT7,ENSG00000027847,5,177600132,177610330,
DPAGT1,ENSG00000172269,11,119096503,119108331,
SNAP29,ENSG00000099940,22,20859007,20891214,
PREP,ENSG00000085377,6,105273220,105454062,
MDC1,ENSG00000234012,CHR_HSCHR6_MHC_APD_CTG1,30763719,30781800,
MOG,ENSG00000230885,CHR_HSCHR6_MHC_MANN_CTG1,29656505,29671893,
HDAC8,ENSG00000147099,X,72329516,72573101,
KIF11,ENSG00000138160,10,92593130,92655395,
KCNJ1,ENSG00000151704,11,128836315,128867373,
NRXN1,ENSG00000179915,2,49918503,51225575,
ACADM,ENSG00000117054,1,75724347,75787575,
TBX22,ENSG00000122145,X,80014753,80031774,
COL18A1,ENSG00000182871,21,45405165,45513720,
HCFC1,ENSG00000172534,X,153947557,153971818,
FCGR3A,ENSG00000203747,1,161541759,161550737,
LTA,ENSG00000231408,CHR_HSCHR6_MHC_MANN_CTG1,31611502,31613772,
LIPE,ENSG00000079435,19,42401514,42427388,
FGF20,ENSG00000078579,8,16992181,17002345,
CDAN1,ENSG00000140326,15,42723544,42737128,
ATG16L1,ENSG00000281089,CHR_HG2232_PATCH,233210051,233295674,
