HPO,name,idSymptom
0000185,Cleft soft palate,
0000187,Broad alveolar ridges,
0000188,Short upper lip,
0000189,Narrow palate,
0000190,Abnormal oral frenulum morphology,
0000191,Accessory oral frenulum,
0000193,Bifid uvula,
0000194,Open mouth,
0000196,Lower lip pit,
0000197,Abnormal parotid gland morphology,
0000198,Absence of Stensen duct,
0000199,Tongue nodules,
0000200,Short lingual frenulum,
0000201,Pierre-Robin sequence,
0000202,Oral cleft,
0000204,Cleft upper lip,
0000205,Pursed lips,
0000206,Glossitis,
0000207,Triangular mouth,
0000211,Trismus,
0000212,Gingival overgrowth,
0000214,Lip telangiectasia,
0000215,Thick upper lip vermilion,
0000216,Broad secondary alveolar ridge,
0000217,Xerostomia,
0000218,High palate,
0000219,Thin upper lip vermilion,
0000220,Velopharyngeal insufficiency,
0000221,Furrowed tongue,
0000222,Gingival hyperkeratosis,
0000223,Abnormality of taste sensation,
0000224,Decreased taste sensation,
0000225,Gingival bleeding,
0000227,Tongue telangiectasia,
0000228,Oral cavity telangiectasia,
0000230,Gingivitis,
0000232,Everted lower lip vermilion,
0000233,Thin vermilion border,
0000234,Abnormality of the head,
0000235,Abnormality of the fontanelles or cranial sutures,
0000236,Abnormality of the anterior fontanelle,
0000237,Small anterior fontanelle,
0000238,Hydrocephalus,
0000239,Large fontanelles,
0000240,Abnormality of skull size,
0000242,Parietal bossing,
0000243,Trigonocephaly,
0000244,Brachyturricephaly,
0000245,Abnormality of the paranasal sinuses,
0000246,Sinusitis,
0000248,Brachycephaly,
0000250,Dense calvaria,
0000252,Microcephaly,
0000253,Progressive microcephaly,
0000255,Acute sinusitis,
0000256,Macrocephaly,
0000260,Wide anterior fontanel,
0000262,Turricephaly,
0000263,Oxycephaly,
0000264,Abnormality of the mastoid,
0000265,Mastoiditis,
0000267,Cranial asymmetry,
0000268,Dolichocephaly,
0000269,Prominent occiput,
0000270,Delayed cranial suture closure,
0000271,Abnormality of the face,
0000272,Malar flattening,
0000273,Facial grimacing,
0000274,Small face,
0000275,Narrow face,
0000276,Long face,
0000277,Abnormality of the mandible,
0000278,Retrognathia,
0000280,Coarse facial features,
0000282,Facial edema,
0000283,Broad face,
0000284,obsolete Abnormality of the ocular region,
0000286,Epicanthus,
0000287,Increased facial adipose tissue,
0000288,Abnormality of the philtrum,
0000289,Broad philtrum,
0000290,Abnormality of the forehead,
0000291,Abnormality of facial adipose tissue,
0000292,Loss of facial adipose tissue,
0000293,Full cheeks,
0000294,Low anterior hairline,
0000295,Doll-like facies,
0000297,Facial hypotonia,
0000298,Mask-like facies,
0000300,Oval face,
0000301,Abnormality of facial musculature,
0000303,Mandibular prognathia,
0000306,Abnormality of the chin,
0000307,Pointed chin,
0000308,Microretrognathia,
0000309,Abnormality of the midface,
0000311,Round face,
0000315,Abnormality of the orbital region,
0000316,Hypertelorism,
0000317,Facial myokymia,
0000319,Smooth philtrum,
0000320,Bird-like facies,
0000321,Square face,
0000322,Short philtrum,
0000324,Facial asymmetry,
0000325,Triangular face,
0000326,Abnormality of the maxilla,
0000327,Hypoplasia of the maxilla,
0000329,Facial hemangioma,
0000331,Short chin,
0000336,Prominent supraorbital ridges,
0000337,Broad forehead,
0000338,Hypomimic face,
0000339,Pugilistic facies,
0000340,Sloping forehead,
0000341,Narrow forehead,
0000343,Long philtrum,
0000346,Whistling appearance,
0000347,Micrognathia,
0000348,High forehead,
0000349,Widow's peak,
0000350,Small forehead,
0000356,Abnormality of the outer ear,
0000357,Abnormal location of ears,
0000358,Posteriorly rotated ears,
0000359,Abnormality of the inner ear,
0000360,Tinnitus,
0000361,obsolete Pulsatile tinnitus (tympanic paraganglioma),
0000362,Otosclerosis,
0000363,Abnormality of earlobe,
0000364,Hearing abnormality,
0000365,Hearing impairment,
0000366,Abnormality of the nose,
0000368,"Low-set, posteriorly rotated ears",
0000369,Low-set ears,
0000370,Abnormality of the middle ear,
0000371,Acute otitis media,
0000372,Abnormality of the auditory canal,
0000375,Abnormal cochlea morphology,
0000376,Incomplete partition of the cochlea type II,
0000377,Abnormality of the pinna,
0000378,Cupped ear,
0000381,Stapes ankylosis,
0000383,Abnormality of periauricular region,
0000384,Preauricular skin tag,
0000385,Small earlobe,
0000387,Absent earlobe,
0000388,Otitis media,
0000389,Chronic otitis media,
0000391,Thickened helices,
0000394,Lop ear,
0000395,Prominent antihelix,
0000396,Overfolded helix,
0000399,Prelingual sensorineural hearing impairment,
0000400,Macrotia,
0000402,Stenosis of the external auditory canal,
0000403,Recurrent otitis media,
0000405,Conductive hearing impairment,
0000407,Sensorineural hearing impairment,
0000408,Progressive sensorineural hearing impairment,
0000410,Mixed hearing impairment,
0000411,Protruding ear,
0000413,Atresia of the external auditory canal,
0000414,Bulbous nose,
0000415,Abnormality of the choanae,
0000417,Slender nose,
0000418,Narrow nasal ridge,
0000419,Abnormality of the nasal septum,
0000420,Short nasal septum,
0000421,Epistaxis,
0000422,Abnormality of the nasal bridge,
0000426,Prominent nasal bridge,
0000429,Abnormality of the nasal alae,
0000430,Underdeveloped nasal alae,
0000431,Wide nasal bridge,
0000433,Abnormality of the nasal mucosa,
0000434,Nasal mucosa telangiectasia,
0000436,Abnormality of the nasal tip,
0000437,Depressed nasal tip,
0000444,Convex nasal ridge,
0000445,Wide nose,
0000446,Narrow nasal bridge,
0000447,Pear-shaped nose,
0000448,Prominent nose,
0000451,Triangular nasal tip,
0000452,Choanal stenosis,
0000453,Choanal atresia,
0000454,Flared nostrils,
0000455,Broad nasal tip,
0000456,Bifid nasal tip,
0000457,Depressed nasal ridge,
0000458,Anosmia,
0000460,Narrow nose,
0000463,Anteverted nares,
0000464,Abnormality of the neck,
0000465,Webbed neck,
0000466,Limited neck range of motion,
0000467,Neck muscle weakness,
0000468,Increased adipose tissue around the neck,
0000470,Short neck,
0000471,Gastrointestinal angiodysplasia,
0000472,Long neck,
0000473,Torticollis,
0000474,Thickened nuchal skin fold,
0000475,Broad neck,
0000476,Cystic hygroma,
0000478,Abnormality of the eye,
0000479,Abnormal retinal morphology,
0000480,Retinal coloboma,
0000481,Abnormal cornea morphology,
0000482,Microcornea,
0000483,Astigmatism,
0000484,Hyperopic astigmatism,
0000485,Megalocornea,
0000486,Strabismus,
0000487,obsolete Congenital strabismus,
0000488,Retinopathy,
0000489,obsolete Abnormality of globe location or size,
0000490,Deeply set eye,
0000491,Keratitis,
0000492,Abnormal eyelid morphology,
0000493,Abnormal foveal morphology,
0000494,Downslanted palpebral fissures,
0000495,Recurrent corneal erosions,
0000496,Abnormality of eye movement,
0000497,Globe retraction and deviation on abduction,
0000498,Blepharitis,
0000499,Abnormal eyelash morphology,
0000501,Glaucoma,
0000502,Abnormal conjunctiva morphology,
0000503,Tortuosity of conjunctival vessels,
0000504,Abnormality of vision,
0000505,Visual impairment,
0000506,Telecanthus,
0000508,Ptosis,
0000509,Conjunctivitis,
0000510,Rod-cone dystrophy,
0000511,Vertical supranuclear gaze palsy,
0000512,Abnormal electroretinogram,
0000514,Slow saccadic eye movements,
0000517,Abnormality of the lens,
0000518,Cataract,
0000519,Developmental cataract,
0000520,Proptosis,
0000522,Alacrima,
0000523,Subcapsular cataract,
0000524,Conjunctival telangiectasia,
0000525,Abnormality iris morphology,
0000526,Aniridia,
0000527,Long eyelashes,
0000528,Anophthalmia,
0000529,Progressive visual loss,
0000531,Corneal crystals,
0000532,Abnormal chorioretinal morphology,
0000533,Chorioretinal atrophy,
0000534,Abnormal eyebrow morphology,
0000535,Sparse and thin eyebrow,
0000537,Epicanthus inversus,
0000538,Pseudopapilledema,
0000539,Abnormality of refraction,
0000540,Hypermetropia,
0000541,Retinal detachment,
0000542,Impaired ocular adduction,
0000543,Optic disc pallor,
0000544,External ophthalmoplegia,
0000545,Myopia,
0000546,Retinal degeneration,
0000547,obsolete Tapetoretinal degeneration,
0000548,Cone/cone-rod dystrophy,
0000549,Abnormal conjugate eye movement,
0000550,Undetectable electroretinogram,
0000551,Color vision defect,
0000552,Tritanomaly,
0000553,Abnormal uvea morphology,
0000554,Uveitis,
0000555,Leukocoria,
0000556,Retinal dystrophy,
0000557,Buphthalmos,
0000558,Rieger anomaly,
0000559,Corneal scarring,
0000561,Absent eyelashes,
0000563,Keratoconus,
0000564,Lacrimal duct atresia,
0000565,Esotropia,
0000567,Chorioretinal coloboma,
0000568,Microphthalmia,
0000570,Abnormal saccadic eye movements,
0000571,Hypometric saccades,
0000572,Visual loss,
0000573,Retinal hemorrhage,
0000574,Thick eyebrow,
0000575,Scotoma,
0000576,Centrocecal scotoma,
0000577,Exotropia,
0000579,Nasolacrimal duct obstruction,
0000580,Pigmentary retinopathy,
0000581,Blepharophimosis,
0000582,Upslanted palpebral fissure,
0000584,Punctate corneal epithelial erosions,
0000585,Band keratopathy,
0000586,Shallow orbits,
0000587,Abnormality of the optic nerve,
0000588,Optic nerve coloboma,
0000589,Coloboma,
0000590,Progressive external ophthalmoplegia,
0000591,Abnormal sclera morphology,
0000592,Blue sclerae,
0000593,Abnormal anterior chamber morphology,
0000594,Shallow anterior chamber,
0000597,Ophthalmoparesis,
0000598,Abnormality of the ear,
0000599,Abnormality of the frontal hairline,
0000600,Abnormality of the pharynx,
0000601,Hypotelorism,
0000602,Ophthalmoplegia,
0000603,Central scotoma,
0000605,Supranuclear gaze palsy,
0000606,Abnormality of the periorbital region,
0000607,Periorbital wrinkles,
0000608,Macular degeneration,
0000609,Optic nerve hypoplasia,
0000610,Abnormal choroid morphology,
0000611,obsolete Choroid coloboma,
0000612,Iris coloboma,
0000613,Photophobia,
0000614,Abnormal nasolacrimal system morphology,
0000615,Abnormal pupil morphology,
0000616,Miosis,
0000617,Abnormality of ocular smooth pursuit,
0000618,Blindness,
0000619,Impaired convergence,
0000620,Dacryocystitis,
0000621,Entropion,
0000622,Blurred vision,
0000623,Supranuclear ophthalmoplegia,
0000625,Eyelid coloboma,
0000627,Posterior embryotoxon,
0000629,Periorbital fullness,
0000630,Abnormal retinal artery morphology,
0000631,Retinal arterial tortuosity,
0000632,Lacrimation abnormality,
0000633,Decreased lacrimation,
0000634,Impaired ocular abduction,
0000635,Blue irides,
0000636,Upper eyelid coloboma,
0000637,Long palpebral fissure,
0000639,Nystagmus,
0000640,Gaze-evoked nystagmus,
0000641,Dysmetric saccades,
0000642,Red-green dyschromatopsia,
0000643,Blepharospasm,
0000646,Amblyopia,
0000647,Sclerocornea,
0000648,Optic atrophy,
0000649,Abnormality of visual evoked potentials,
0000650,Abnormal amplitude of pattern reversal visual evoked potentials,
0000651,Diplopia,
0000652,Lower eyelid coloboma,
0000653,Sparse eyelashes,
0000654,Decreased light- and dark-adapted electroretinogram amplitude,
0000655,obsolete Vitreoretinal degeneration,
0000656,Ectropion,
0000657,Oculomotor apraxia,
0000658,Eyelid apraxia,
0000659,Peters anomaly,
0000660,Lipemia retinalis,
0000661,Palpebral fissure narrowing on adduction,
0000662,Nyctalopia,
0000664,Synophrys,
0000666,Horizontal nystagmus,
0000667,Phthisis bulbi,
0000668,Hypodontia,
0000670,Carious teeth,
0000674,Anodontia,
0000675,Macrodontia of permanent maxillary central incisor,
0000676,Abnormality of the incisor,
0000677,Oligodontia,
0000678,Dental crowding,
0000679,Taurodontia,
0000680,Delayed eruption of primary teeth,
0000682,Abnormality of dental enamel,
0000683,Grayish enamel,
0000684,Delayed eruption of teeth,
0000685,Hypoplasia of teeth,
0000687,Widely spaced teeth,
0000689,Dental malocclusion,
0000690,Agenesis of maxillary lateral incisor,
0000691,Microdontia,
0000692,Misalignment of teeth,
0000694,Shell teeth,
0000695,Natal tooth,
0000696,Delayed eruption of permanent teeth,
0000698,Conical tooth,
0000699,Diastema,
0000700,Periapical bone loss,
0000703,Dentinogenesis imperfecta,
0000704,Periodontitis,
0000705,Amelogenesis imperfecta,
0000706,Unerupted tooth,
0000707,Abnormality of the nervous system,
0000708,Behavioral abnormality,
0000709,Psychosis,
0000710,Hyperorality,
0000711,Restlessness,
0000712,Emotional lability,
0000713,Agitation,
0000716,Depressivity,
0000717,Autism,
0000718,Aggressive behavior,
0000719,Inappropriate behavior,
0000720,Mood swings,
0000721,Lack of spontaneous play,
0000722,Obsessive-compulsive behavior,
0000723,Restrictive behavior,
0000725,Psychotic episodes,
0000726,Dementia,
0000727,Frontal lobe dementia,
0000728,Impaired ability to form peer relationships,
0000729,Autistic behavior,
0000732,Inflexible adherence to routines or rituals,
0000733,Stereotypy,
0000734,Disinhibition,
0000735,Impaired social interactions,
0000736,Short attention span,
0000737,Irritability,
0000738,Hallucinations,
0000739,Anxiety,
0000740,Episodic paroxysmal anxiety,
0000741,Apathy,
0000742,Self-mutilation,
0000743,Frontal release signs,
0000744,Low frustration tolerance,
0000745,Diminished motivation,
0000746,Delusions,
0000748,Inappropriate laughter,
0000749,Paroxysmal bursts of laughter,
0000750,Delayed speech and language development,
0000751,Personality changes,
0000752,Hyperactivity,
0000753,Autism with high cognitive abilities,
0000756,Agoraphobia,
0000757,Lack of insight,
0000758,Impaired use of nonverbal behaviors,
0000759,Abnormal peripheral nervous system morphology,
0000762,Decreased nerve conduction velocity,
0000763,Sensory neuropathy,
0000764,Peripheral axonal degeneration,
0000765,Abnormality of the thorax,
0000766,Abnormality of the sternum,
0000767,Pectus excavatum,
0000768,Pectus carinatum,
0000769,Abnormality of the breast,
0000771,Gynecomastia,
0000772,Abnormality of the ribs,
0000773,Short ribs,
0000774,Narrow chest,
0000775,Abnormality of the diaphragm,
0000776,Congenital diaphragmatic hernia,
0000777,Abnormality of the thymus,
0000778,Hypoplasia of the thymus,
0000782,Abnormality of the scapula,
0000786,Primary amenorrhea,
0000787,Nephrolithiasis,
0000789,Infertility,
0000790,Hematuria,
0000791,Uric acid nephrolithiasis,
0000793,Membranoproliferative glomerulonephritis,
0000794,IgA deposition in the glomerulus,
0000795,Abnormality of the urethra,
0000796,Urethral obstruction,
0000798,Oligospermia,
0000799,Renal steatosis,
0000800,Cystic renal dysplasia,
0000802,Impotence,
0000803,Renal cortical cysts,
0000804,Xanthine nephrolithiasis,
0000805,Enuresis,
0000807,Glandular hypospadias,
0000808,Penoscrotal hypospadias,
0000809,Urinary tract atresia,
0000811,Abnormal external genitalia,
0000812,Abnormal internal genitalia,
0000813,Bicornuate uterus,
0000815,Hypergonadotropic hypogonadism,
0000816,Abnormality of Krebs cycle metabolism,
0000817,Poor eye contact,
0000818,Abnormality of the endocrine system,
0000819,Diabetes mellitus,
0000820,Abnormality of the thyroid gland,
0000821,Hypothyroidism,
0000822,Hypertension,
0000823,Delayed puberty,
0000824,Growth hormone deficiency,
0000825,Hyperinsulinemic hypoglycemia,
0000826,Precocious puberty,
0000828,Abnormality of the parathyroid gland,
0000829,Hypoparathyroidism,
0000830,Anterior hypopituitarism,
0000831,Insulin-resistant diabetes mellitus,
0000832,Primary hypothyroidism,
0000833,obsolete Glucose intolerance,
0000834,Abnormality of the adrenal glands,
0000835,Adrenal hypoplasia,
0000836,Hyperthyroidism,
0000837,Increased circulating gonadotropin level,
0000839,Pituitary dwarfism,
0000840,Adrenogenital syndrome,
0000841,Hyperactive renin-angiotensin system,
0000842,Hyperinsulinemia,
0000843,Hyperparathyroidism,
0000845,Growth hormone excess,
0000846,Adrenal insufficiency,
0000847,Abnormality of renin-angiotensin system,
0000848,Increased circulating renin level,
0000849,Adrenocortical abnormality,
0000851,Congenital hypothyroidism,
0000852,Pseudohypoparathyroidism,
0000853,Goiter,
0000854,Thyroid adenoma,
0000855,Insulin resistance,
0000857,Neonatal insulin-dependent diabetes mellitus,
0000858,Menstrual irregularities,
0000859,Hyperaldosteronism,
0000860,Parathyroid hypoplasia,
0000863,Central diabetes insipidus,
0000864,Abnormality of the hypothalamus-pituitary axis,
0000866,Euthyroid multinodular goiter,
0000867,Secondary hyperparathyroidism,
0000868,Decreased fertility in females,
0000869,Secondary amenorrhea,
0000870,Increased circulating prolactin concentration,
0000871,Panhypopituitarism,
0000872,Hashimoto thyroiditis,
0000873,Diabetes insipidus,
0000875,Episodic hypertension,
0000876,Oligomenorrhea,
0000877,Insulin-resistant diabetes mellitus at puberty,
0000878,11 pairs of ribs,
0000879,Short sternum,
0000882,Hypoplastic scapulae,
0000883,Thin ribs,
0000884,Prominent sternum,
0000885,Broad ribs,
0000886,Deformed rib cage,
0000887,Cupped ribs,
0000888,Horizontal ribs,
0000889,Abnormality of the clavicle,
0000890,Long clavicles,
0000891,Cervical ribs,
0000892,Bifid ribs,
0000893,Bulging of the costochondral junction,
0000894,Short clavicles,
0000895,Lateral clavicle hook,
0000896,Rib exostoses,
0000897,Rachitic rosary,
0000900,Thickened ribs,
0000902,Rib fusion,
0000904,Flaring of rib cage,
0000905,Progressive clavicular acroosteolysis,
0000907,Anterior rib cupping,
0000910,Wide-cupped costochondral junctions,
0000911,Flat glenoid fossa,
0000912,Sprengel anomaly,
0000913,Posterior rib fusion,
0000914,Shield chest,
0000915,Pectus excavatum of inferior sternum,
0000916,Broad clavicles,
0000917,Superior pectus carinatum,
0000918,Scapular exostoses,
0000919,Abnormality of the costochondral junction,
0000920,Enlargement of the costochondral junction,
0000921,Missing ribs,
0000922,Posterior rib cupping,
0000923,Beaded ribs,
0000924,Abnormality of the skeletal system,
0000925,Abnormality of the vertebral column,
0000926,Platyspondyly,
0000927,Abnormality of skeletal maturation,
0000929,Abnormal skull morphology,
0000930,Elevated imprint of the transverse sinuses,
0000931,Thinning and bulging of the posterior fossa bones,
0000932,Abnormality of the posterior cranial fossa,
0000933,Posterior fossa cyst at the fourth ventricle,
0000934,Chondrocalcinosis,
0000935,Thickened cortex of long bones,
0000938,Osteopenia,
0000939,Osteoporosis,
0000940,Abnormal diaphysis morphology,
0000941,Short diaphyses,
0000943,Dysostosis multiplex,
0000944,Abnormality of the metaphysis,
0000946,Hypoplastic ilia,
0000947,Dumbbell-shaped long bone,
0000951,Abnormality of the skin,
0000952,Jaundice,
0000953,Hyperpigmentation of the skin,
0000954,Single transverse palmar crease,
0000956,Acanthosis nigricans,
0000957,Cafe-au-lait spot,
0000958,Dry skin,
0000960,Sacral dimple,
0000961,Cyanosis,
0000962,Hyperkeratosis,
0000963,Thin skin,
0000964,Eczema,
0000965,Cutis marmorata,
0000966,Hypohidrosis,
0000967,Petechiae,
0000968,Ectodermal dysplasia,
0000969,Edema,
0000970,Anhidrosis,
0000971,Abnormal sweat gland morphology,
0000972,Palmoplantar hyperkeratosis,
0000973,Cutis laxa,
0000974,Hyperextensible skin,
0000975,Hyperhidrosis,
0000976,Eczematoid dermatitis,
0000977,Soft skin,
0000978,Bruising susceptibility,
0000979,Purpura,
0000980,Pallor,
0000982,Palmoplantar keratoderma,
0000987,Atypical scarring of skin,
0000988,Skin rash,
0000989,Pruritus,
0000991,Xanthomatosis,
0000992,Cutaneous photosensitivity,
0000993,Molluscoid pseudotumors,
0000995,Melanocytic nevus,
0000996,Facial capillary hemangioma,
0000997,Axillary freckling,
0000998,Hypertrichosis,
0000999,Pyoderma,
0001000,Abnormality of skin pigmentation,
0001001,Abnormality of subcutaneous fat tissue,
0001002,obsolete Decreased subcutaneous fat,
0001003,Multiple lentigines,
0001004,Lymphedema,
0001005,Dermatological manifestations of systemic disorders,
0001006,Hypotrichosis,
0001007,Hirsutism,
0001008,Accumulation of melanosomes in melanocytes,
0001009,Telangiectasia,
0001010,Hypopigmentation of the skin,
0001011,obsolete Diaphoresis (with pheochromocytoma),
0001012,Multiple lipomas,
0001013,Eruptive xanthomas,
0001014,Angiokeratoma,
0001015,Prominent superficial veins,
0001017,Anemic pallor,
0001018,Abnormal palmar dermatoglyphics,
0001019,Erythroderma,
0001022,Albinism,
0001024,Skin dimple over apex of long bone angulation,
0001025,Urticaria,
0001026,Penetrating foot ulcers,
0001027,"Soft, doughy skin",
0001028,Hemangioma,
0001029,Poikiloderma,
0001030,Fragile skin,
0001031,Subcutaneous lipoma,
0001032,Absent distal interphalangeal creases,
0001033,Facial flushing after alcohol intake,
0001034,Hypermelanotic macule,
0001036,Parakeratosis,
0001038,Warfarin-induced skin necrosis,
0001039,Atheroeruptive xanthoma,
0001040,Multiple pterygia,
0001041,Facial erythema,
0001042,High axial triradius,
0001043,Prominent scalp veins,
0001045,Vitiligo,
0001046,Intermittent jaundice,
0001047,Atopic dermatitis,
0001048,Cavernous hemangioma,
0001049,Absent dorsal skin creases over affected joints,
0001050,Plethora,
0001051,Seborrheic dermatitis,
0001052,Nevus flammeus,
0001053,Hypopigmented skin patches,
0001054,Numerous nevi,
0001055,Erysipelas,
0001056,Milia,
0001057,Aplasia cutis congenita,
0001058,Poor wound healing,
0001059,Pterygium,
0001060,Axillary pterygium,
0001061,Acne,
0001062,Atypical nevus,
0001063,Acrocyanosis,
0001065,Striae distensae,
0001067,Neurofibromas,
0001069,Episodic hyperhidrosis,
0001070,Mottled pigmentation,
0001071,Angiokeratoma corporis diffusum,
0001072,Thickened skin,
0001073,Cigarette-paper scars,
0001074,Atypical nevi in non-sun exposed areas,
0001075,Atrophic scars,
0001076,Glabellar hemangioma,
0001080,Biliary tract abnormality,
0001081,Cholelithiasis,
0001082,Cholecystitis,
0001083,Ectopia lentis,
0001084,Corneal arcus,
0001085,Papilledema,
0001087,Developmental glaucoma,
0001088,Brushfield spots,
0001089,Iris atrophy,
0001090,Abnormally large globe,
0001092,Absent lacrimal punctum,
0001093,Optic nerve dysplasia,
0001094,Iridocyclitis,
0001095,Hypertensive retinopathy,
0001096,Keratoconjunctivitis,
0001097,Keratoconjunctivitis sicca,
0001098,Abnormal fundus morphology,
0001099,Fundus atrophy,
0001100,Heterochromia iridis,
0001101,Iritis,
0001102,Angioid streaks of the fundus,
0001103,Abnormal macular morphology,
0001104,Macular hypoplasia,
0001105,Retinal atrophy,
0001106,Periorbital hyperpigmentation,
0001107,Ocular albinism,
0001112,Leber optic atrophy,
0001113,obsolete Early cataracts,
0001114,Xanthelasma,
0001115,Posterior polar cataract,
0001116,Macular coloboma,
0001117,Sudden loss of visual acuity,
0001118,Juvenile cataract,
0001119,Keratoglobus,
0001120,Abnormality of corneal size,
0001122,obsolete Aplasia/Hypoplasia of the choroid,
0001123,Visual field defect,
0001125,Transient unilateral blurring of vision,
0001126,Cryptophthalmos,
0001128,Trichiasis,
0001129,Large central visual field defect,
0001131,Corneal dystrophy,
0001132,Lens subluxation,
0001133,Constriction of peripheral visual field,
0001134,Anterior polar cataract,
0001135,Chorioretinal dystrophy,
0001136,Retinal arteriolar tortuosity,
0001137,Alternating esotropia,
0001138,Optic neuropathy,
0001139,Choroideremia,
0001140,Limbal dermoid,
0001141,Severely reduced visual acuity,
0001142,Lenticonus,
0001144,Orbital cyst,
0001145,obsolete Chorioretinopathy,
0001146,obsolete Pigmentary retinal degeneration,
0001147,Retinal exudate,
0001149,Lattice corneal dystrophy,
0001150,obsolete Choroidal sclerosis,
0001151,Impaired horizontal smooth pursuit,
0001152,Saccadic smooth pursuit,
