name,DOID,ai
adiaspiromycosis,0050072,
invasive aspergillosis,0050073,
obsolete tonsillar aspergillosis,0050074,
obsolete pulmonary blastomycosis,0050075,
obsolete cervix tuberculosis,0050078,
obsolete niacin deficiency,0050079,
obsolete iodine deficiency,0050080,
obsolete hepatic Torque teno virus infectious disease,0050082,
Keshan disease,0050083,
obsolete rhinotracheitis,0050084,
obsolete entomophthoromycosis,0050085,
obsolete cutaneous mucormycosis,0050086,
obsolete gastrointestinal mucormycosis,0050088,
obsolete pulmonary mucormycosis,0050089,
obsolete rhinocerebral mucormycosis,0050090,
obsolete disseminated paracoccidioidomycosis,0050091,
obsolete pulmonary paracoccidioidomycosis,0050092,
obsolete disseminated sporotrichosis,0050093,
obsolete lymphocutaneous sporotrichosis,0050094,
obsolete pulmonary sporotrichosis,0050095,
tinea barbae,0050096,
ectothrix infectious disease,0050097,
obsolete Microsporum audouinii tinea capitis,0050098,
obsolete Microsporum canis tinea capitis,0050099,
obsolete Microsporum distortum tinea capitis,0050100,
obsolete Microsporum ferrugineum tinea capitis,0050101,
obsolete Microsporum gypseum tinea capitis,0050102,
obsolete Microsporum nanum tinea capitis,0050103,
obsolete Trichophyton verrucosum tinea capitis,0050104,
endothrix infectious disease,0050105,
obsolete Trichophyton soudanense tinea capitis,0050106,
obsolete Trichophyton tonsurans tinea capitis,0050107,
obsolete Trichophyton violaceum tinea capitis,0050108,
obsolete Trichophyton schoenleinii tinea capitis,0050110,
obsolete Microsporum fulvum tinea capitis,0050111,
obsolete Trichophyton megninii tinea capitis,0050112,
obsolete Trichophyton equinum tinea capitis,0050113,
obsolete Trichophyton yaoundei tinea capitis,0050115,
tinea imbricata,0050116,
disease by infectious agent,0050117,
La Crosse encephalitis,0050118,
obsolete West Nile virus neurological syndrome,0050119,
hemophagocytic lymphohistiocytosis,0050120,
obsolete tuberculous encephalitis,0050123,
dengue shock syndrome,0050125,
obsolete Tahyna virus encephalitis,0050126,
sinusitis,0050127,
secretory diarrhea,0050129,
osmotic diarrhea,0050130,
motility-related diarrhea,0050131,
inflammatory diarrhea,0050132,
superficial mycosis,0050133,
cutaneous mycosis,0050134,
subcutaneous mycosis,0050135,
systemic mycosis,0050136,
podoconiosis,0050138,
obsolete Opisthorchis felineus infectious disease,0050139,
acute diarrhea,0050140,
intestinal botulism,0050141,
asymptomatic dengue,0050143,
Kartagener syndrome,0050144,
adenoiditis,0050145,
otomycosis,0050147,
laryngotracheitis,0050148,
Pontiac fever,0050150,
obsolete tracheobronchial tuberculosis,0050151,
aspiration pneumonia,0050152,
pulmonary aspergilloma,0050153,
obsolete mycoplasmal pneumonia,0050154,
sensory system disease,0050155,
idiopathic pulmonary fibrosis,0050156,
cryptogenic organizing pneumonia,0050157,
desquamative interstitial pneumonia,0050158,
lymphoid interstitial pneumonia,0050159,
inhalation anthrax,0050160,
lower respiratory tract disease,0050161,
obsolete influenza encephalopathy,0050162,
obsolete influenza myocarditis,0050163,
obsolete influenza myositis,0050164,
obsolete tuberculous mesenteric gland,0050165,
tuberculous salpingitis,0050166,
autoimmune polyendocrine syndrome type 1,0050167,
autoimmune polyendocrine syndrome type 2,0050168,
cutaneous lupus erythematosus,0050169,
obsolete Jamestown Canyon encephalitis,0050170,
obsolete snowshoe hare encephalitis,0050171,
obsolete trivittatus encephalitis,0050172,
obsolete inkoo encephalitis,0050173,
Kunjin encephalitis,0050174,
tick-borne encephalitis,0050175,
monogenic disease,0050177,
obsolete complex genetic disease,0050178,
Powassan encephalitis,0050179,
obsolete Colorado tick fever encephalitis,0050180,
obsolete Herpes simplex virus encephalitis,0050181,
obsolete Varicella-zoster virus encephalitis,0050182,
obsolete Epstein-Barr virus encephalitis,0050183,
obsolete Measles virus encephalitis,0050184,
erythema multiforme,0050185,
obsolete Cytomegalovirus encephalitis,0050186,
obsolete Rubella virus encephalitis,0050187,
obsolete coxsackievirus encephalitis,0050188,
obsolete polioencephalitis,0050189,
obsolete adenovirus encephalitis,0050190,
obsolete influenza virus encephalitis,0050191,
Nipah virus encephalitis,0050192,
obsolete Lymphocytic choriomeningitis virus encephalitis,0050193,
Argentine hemorrhagic fever,0050194,
Bolivian hemorrhagic fever,0050195,
Venezuelan hemorrhagic fever,0050196,
Brazilian hemorrhagic fever,0050197,
Chapare hemorrhagic fever,0050198,
Whitewater Arroyo hemorrhagic fever,0050199,
Korean hemorrhagic fever,0050200,
nephropathia epidemica,0050201,
lujo hemorrhagic fever,0050202,
obsolete Cytomegalovirus hepatitis,0050203,
Epstein-Barr virus hepatitis,0050204,
obsolete Herpes simplex virus hepatitis,0050205,
obsolete adenovirus hepatitis,0050206,
obsolete Rubella virus hepatitis,0050207,
obsolete yellow fever hepatitis,0050208,
obsolete Measles virus hepatitis,0050209,
obsolete Varicella-zoster virus hepatitis,0050210,
swine influenza,0050211,
obsolete Campylobacter jejuni gastroenteritis,0050212,
obsolete Vibrio gastroenteritis,0050213,
Lambert-Eaton myasthenic syndrome,0050214,
obsolete Staphylococcus gastroenteritis,0050215,
obsolete Bacillus cereus gastroenteritis,0050216,
obsolete Sapovirus gastroenteritis,0050217,
polycystic echinococcosis,0050218,
obsolete Hepeviridae infectious disease,0050219,
obsolete Coxiella burnetii pneumonia,0050220,
obsolete Coxiella burnetii hepatitis,0050221,
selective IgM deficiency disease,0050222,
obsolete candidal gastritis,0050223,
obsolete Helicobacter heilmannii infectious disease,0050224,
obsolete Histoplasma capsulatum gastritis,0050225,
obsolete Morganella morganii intestinal infectious disease,0050226,
obsolete Vibrio cholerae O139 cholera,0050227,
obsolete amebic dysentery,0050228,
obsolete Escherichia coli dysentery,0050229,
obsolete intestinal capillariasis,0050230,
obsolete hepatic capillariasis,0050231,
obsolete pulmonary capillariasis,0050232,
obsolete Balamuthia mandrillaris infectious disease,0050233,
obsolete Acanthamoeba infectious disease,0050234,
obsolete Alveolata infectious disease,0050235,
obsolete Heterolobosea infectious disease,0050236,
obsolete Euglenozoa infectious disease,0050237,
obsolete Parabasalia infectious disease,0050238,
obsolete Fornicata infectious disease,0050239,
obsolete Trichomonadida infectious disease,0050240,
obsolete Tritrichomonadida infectious disease,0050241,
primary amebic meningoencephalitis,0050242,
obsolete Apicomplexa infectious disease,0050243,
obsolete Coccidia infectious disease,0050244,
obsolete Aconoidasida infectious disease,0050245,
granulomatous amebic encephalitis,0050246,
obsolete parasitic stramenopiles infectious disease,0050247,
obsolete Brugia timori filariasis,0050249,
philophthalmiasis,0050250,
coenurosis,0050251,
obsolete Dipylidium caninum infectious disease,0050252,
mesocestoidiasis,0050253,
acanthocephaliasis,0050254,
obsolete Uncinaria stenocephala infectious disease,0050255,
angiostrongyliasis,0050256,
obsolete Angiostrongylus cantonensis infectious disease,0050257,
obsolete Angiostrongylus costaricensis infectious disease,0050258,
baylisascariasis,0050259,
dioctophymiasis,0050260,
thelaziasis,0050261,
obsolete Acoelomata infectious disease,0050262,
obsolete Pseudocoelomata infectious disease,0050263,
obsolete Acanthocephala infectious disease,0050264,
obsolete tick paralysis,0050265,
tungiasis,0050266,
obsolete Ancylostoma caninum ancylostomiasis,0050267,
ophthalmomyiasis,0050268,
Trichomonas vaginalis trichomoniasis,0050269,
Trichomonas tenax trichomoniasis,0050270,
obsolete cutaneous ascomycota mycosis,0050271,
obsolete cutaneous basidiomycota mycosis,0050272,
obsolete Neoscytalidium dimidiatum infectious disease,0050273,
obsolete Scopulariopsis infectious disease,0050274,
obsolete onychomycosis,0050275,
obsolete subcutaneous ascomycota mycosis,0050276,
obsolete subcutaneous fungi incertae sedis mycosis,0050277,
basidiobolomycosis,0050278,
conidiobolomycosis,0050279,
obsolete superficial ascomycota mycosis,0050280,
obsolete superficial basidiomycota mycosis,0050281,
obsolete primary systemic ascomycota mycosis,0050282,
obsolete Stachybotrys infectious disease,0050283,
obsolete opportunistic ascomycota mycosis,0050284,
obsolete opportunistic basidiomycota mycosis,0050285,
obsolete opportunistic fungi incertae sedis mycosis,0050286,
obsolete opportunistic microsporidia mycosis,0050287,
penicilliosis,0050288,
fusariosis,0050289,
trichosporonosis,0050290,
parasitic Ichthyosporea infectious disease,0050291,
primary systemic mycosis,0050292,
obsolete Scopulariopsis brevicaulis infectious disease,0050293,
obsolete Scytalidium hyalinum infectious disease,0050294,
obsolete cutaneous sporotrichosis,0050295,
obsolete Asfarviridae infectious disease,0050296,
obsolete primary Francisellaceae infectious disease,0050297,
obsolete adenovirus infectious disease,0050298,
obsolete Simplexvirus infectious disease,0050299,
obsolete Deltavirus infectious disease,0050300,
obsolete Polyomaviridae infectious disease,0050301,
obsolete Varicellovirus infectious disease,0050302,
obsolete Hepacivirus infectious disease,0050303,
aniseikonia,0050304,
obsolete Arteriviridae infectious disease,0050305,
obsolete familial abdominal aortic aneurysm,0050306,
obsolete Bornaviridae infectious disease,0050307,
Alkhurma hemorrhagic fever,0050308,
obsolete Measles virus infectious disease,0050309,
obsolete primary Listeriaceae infectious disease,0050310,
obsolete primary Helicobacteraceae infectious disease,0050311,
obsolete primary Campylobacteraceae infectious disease,0050312,
obsolete primary Brucellaceae infectious disease,0050313,
obsolete primary Erysipelotrichaceae infectious disease,0050314,
obsolete commensal Clostridiaceae infectious disease,0050315,
obsolete commensal Staphylococcaceae infectious disease,0050316,
obsolete commensal Streptococcaceae infectious disease,0050317,
obsolete primary Burkholderiaceae infectious disease,0050318,
obsolete primary Legionellaceae infectious disease,0050319,
obsolete commensal Alcaligenaceae infectious disease,0050320,
obsolete opportunistic Pseudomonadaceae infectious disease,0050321,
obsolete primary Vibrionaceae infectious disease,0050322,
obsolete primary Coxiellaceae infectious disease,0050323,
obsolete physical disorder OBSOLETED TERM,0050324,
obsolete genetic disorder,0050325,
obsolete peripheral dysostosis,0050327,
congenital hypothyroidism,0050328,
obsolete mental disorder,0050329,
LADD syndrome,0050331,
enlarged vestibular aqueduct,0050332,
obsolete congenital anosmia,0050333,
obsolete thiourea tasting,0050334,
bradyopsia,0050335,
hypophosphatemia,0050336,
obsolete Burkholderia cepacia infectious disease,0050337,
primary bacterial infectious disease,0050338,
commensal bacterial infectious disease,0050339,
opportunistic bacterial infectious disease,0050340,
obsolete opportunistic Actinomycetales infectious disease,0050341,
obsolete commensal Actinomycetales infectious disease,0050342,
obsolete Gardnerella vaginalis vaginosis,0050343,
obsolete commensal Bifidobacteriaceae infectious disease,0050344,
obsolete primary Thermomonosporaceae infectious disease,0050345,
obsolete primary Corynebacteriaceae infectious disease,0050346,
obsolete primary Mycobacteriaceae infectious disease,0050347,
obsolete primary Streptomycetaceae infectious disease,0050348,
obsolete opportunistic Nocardiaceae infectious disease,0050349,
obsolete primary Clostridiaceae infectious disease,0050350,
obsolete primary Clostridium infectious disease,0050351,
foodborne botulism,0050352,
wound botulism,0050353,
infant botulism,0050354,
obsolete opportunistic Burkholderiaceae infectious disease,0050355,
obsolete Burkholderia cenocepacia infectious disease,0050357,
obsolete commensal Chlamydiaceae infectious disease,0050358,
obsolete Bilophila wadsworthia necrotizing fasciitis,0050359,
obsolete commensal Enterobacteriaceae infectious disease,0050360,
obsolete opportunistic Enterobacteriaceae infectious disease,0050361,
obsolete Elizabethkingia meningoseptica infectious disease,0050362,
obsolete Capnocytophaga canimorsus infectious disease,0050363,
obsolete opportunistic Flavobacteriaceae infectious disease,0050364,
obsolete Chryseobacterium indologenes infectious disease,0050365,
obsolete Empedobacter brevis endophthalmitis,0050366,
obsolete Myroides odoratus necrotizing fasciitis,0050367,
obsolete commensal Fusobacteriaceae infectious disease,0050368,
obsolete primary Mycoplasmataceae infectious disease,0050369,
obsolete commensal Neisseriaceae infectious disease,0050370,
obsolete commensal Pasteurellaceae infectious disease,0050371,
obsolete commensal Haemophilus infectious disease,0050372,
obsolete Leptospiraceae infectious disease,0050373,
obsolete Spirochaetaceae infectious disease,0050374,
obsolete primary Spirillaceae infectious disease,0050375,
obsolete anaplasmosis,0050376,
obsolete Burkholderia cepacia complex infectious disease,0050377,
obsolete opportunistic Campylobacteraceae infectious disease,0050378,
obsolete Campylobacter fetus infectious disease,0050379,
obsolete Campylobacter coli infectious disease,0050380,
obsolete Chlamydia trachomatis epididymitis,0050381,
glandular tularemia,0050382,
typhoidal tularemia,0050383,
obsolete commensal Helicobacteraceae infectious disease,0050384,
obsolete commensal Helicobacter infectious disease,0050385,
obsolete Acinetobacter baumannii pneumonia,0050386,
nonpapillary renal cell carcinoma,0050387,
obsolete Bacteroides fragilis peritonitis,0050388,
obsolete Capnocytophaga canimorsus meningitis,0050389,
obsolete Capnocytophaga canimorsus endocarditis,0050390,
obsolete Elizabethkingia meningoseptica meningitis,0050391,
obsolete streptococcal necrotizing fasciitis,0050392,
obsolete Chryseobacterium indologenes pneumonia,0050393,
obsolete nocardial pneumonia,0050394,
obsolete nocardial cellulitis,0050395,
obsolete nocardial keratitis,0050396,
obsolete cerebral Bilophila wadsworthia infectious disease,0050397,
Carrion's disease,0050398,
obsolete Bordetella pertussis whooping cough,0050399,
obsolete Pseudomonas urinary tract infectious disease,0050400,
obsolete Pseudomonas endocarditis,0050401,
obsolete Pseudomonas keratitis,0050402,
obsolete commensal Mycoplasmatales infectious disease,0050403,
obsolete commensal Mycoplasmataceae infectious disease,0050404,
obsolete Mycoplasma genitalium urethritis,0050405,
obsolete Yersinia pseudotuberculosis mesenteric lymphadenitis,0050406,
obsolete commensal Mycoplasma infectious disease,0050407,
obsolete Staphylococcus aureus ecthyma,0050408,
obsolete Streptococcus pyogenes ecthyma,0050409,
obsolete streptococcal erysipelas,0050410,
obsolete Staphylococcus aureus erysipelas,0050411,
obsolete Streptococcus impetigo,0050412,
obsolete Staphylococcus aureus impetigo,0050413,
obsolete Streptococcus lymphangitis,0050414,
obsolete Staphylococcus aureus lymphangitis,0050415,
obsolete Streptococcus agalactiae meningitis,0050416,
obsolete Streptococcus equisimilis meningitis,0050417,
obsolete Streptococcus zooepidemicus meningitis,0050418,
complement factor I deficiency,0050419,
obsolete primary Streptococcaceae infectious disease,0050420,
obsolete primary streptococcal infectious disease,0050421,
obsolete Yersinia pseudotuberculosis gastroenteritis,0050422,
obsolete enteroaggregative Escherichia coli infectious disease,0050423,
familial adenomatous polyposis,0050424,
restless legs syndrome,0050425,
Stevens-Johnson syndrome,0050426,
xeroderma pigmentosum,0050427,
nonepidermolytic palmoplantar keratoderma,0050428,
Hailey-Hailey disease,0050429,
multiple endocrine neoplasia type 2A,0050430,
arrhythmogenic right ventricular cardiomyopathy,0050431,
Asperger syndrome,0050432,
fatal familial insomnia,0050433,
Andersen-Tawil syndrome,0050434,
mulibrey nanism,0050436,
Danon disease,0050437,
Frasier syndrome,0050438,
Usher syndrome,0050439,
familial partial lipodystrophy,0050440,
mucosulfatidosis,0050441,
infantile Refsum disease,0050444,
X-linked dominant hypophosphatemic rickets,0050445,
hereditary mucosal leukokeratosis,0050448,
pachyonychia congenita,0050449,
Gitelman syndrome,0050450,
Brugada syndrome,0050451,
mevalonic aciduria,0050452,
lissencephaly,0050453,
periventricular nodular heterotopia,0050454,
obsolete arachnodactyly,0050455,
Buruli ulcer disease,0050456,
Sertoli cell-only syndrome,0050457,
juvenile myelomonocytic leukemia,0050458,
hyperphosphatemia,0050459,
Wolf-Hirschhorn syndrome,0050460,
aspartylglucosaminuria,0050461,
Antley-Bixler syndrome,0050462,
campomelic dysplasia,0050463,
Farber lipogranulomatosis,0050464,
Muir-Torre syndrome,0050465,
Loeys-Dietz syndrome,0050466,
erythrokeratodermia variabilis,0050467,
yellow nail syndrome,0050468,
Costello syndrome,0050469,
Donohue syndrome,0050470,
Carney complex,0050471,
monilethrix,0050472,
Alstrom syndrome,0050473,
Netherton syndrome,0050474,
Weill-Marchesani syndrome,0050475,
Barth syndrome,0050476,
Liddle syndrome,0050477,
obsolete primary Escherichia coli infectious disease,0050478,
obsolete commensal Klebsiella infectious disease,0050479,
epidemic typhus,0050480,
endemic typhus,0050481,
obsolete lymphangitis-associated rickettsiosis,0050482,
obsolete Rickettsia aeschlimannii spotted fever,0050483,
aneruptive fever,0050484,
sennetsu fever,0050485,
exanthem,0050486,
bacterial exanthem,0050487,
early congenital syphilis,0050488,
multinodular goiter,0050489,
parenchymatous neurosyphilis,0050490,
meningovascular neurosyphilis,0050491,
obsolete tertiary syphilitic encephalitis,0050492,
obsolete tertiary syphilitic meningitis,0050493,
obsolete Papillomaviridae infectious disease,0050494,
exanthema subitum,0050495,
obsolete Banna virus encephalitis,0050496,
obsolete Anelloviridae infectious disease,0050497,
obsolete dsDNA virus infectious disease,0050498,
obsolete ssDNA virus infectious disease,0050499,
obsolete dsDNA-RT virus infectious disease,0050500,
obsolete dsRNA virus infectious disease,0050501,
obsolete (+)ssRNA virus infectious disease,0050502,
obsolete (-)ssRNA virus infectious disease,0050503,
obsolete ssRNA-RT virus infectious disease,0050504,
obsolete human papilloma virus related anal squamous cell carcinoma,0050505,
obsolete human papilloma virus related vaginal squamous cell carcinoma,0050506,
obsolete AIDS-related cryptosporidiosis,0050507,
variola major,0050508,
obsolete AIDS-related toxoplasmosis,0050509,
obsolete AIDS-related cystoisosporiasis,0050510,
obsolete Human torovirus gastroenteritis,0050511,
obsolete Saffold virus gastroenteritis,0050512,
spinal polio,0050513,
bulbospinal polio,0050514,
paralytic poliomyelitis,0050515,
O'nyong'nyong fever,0050516,
Barmah Forest virus disease,0050517,
Ross River fever,0050518,
obsolete Lymphocytic choriomeningitis virus meningitis,0050519,
obsolete Lymphocytic choriomeningitis virus meningoencephalitis,0050520,
Oropouche fever,0050521,
Balkan hemorrhagic fever,0050522,
adult T-cell leukemia,0050523,
maturity-onset diabetes of the young,0050524,
obsolete acroosteolysis,0050525,
Gamstorp-Wohlfart syndrome,0050526,
obsolete familial hypertriglyceridemia,0050527,
nonphotosensitive trichothiodystrophy,0050528,
adult spinal muscular atrophy,0050529,
intermediate spinal muscular atrophy,0050530,
obsolete lentiginosis profusa,0050531,
obsolete epidermal nevus,0050532,
obsolete soldiers heart,0050533,
congenital stationary night blindness,0050534,
exudative vitreoretinopathy,0050535,
SC phocomelia syndrome,0050536,
posterior polar cataract,0050537,
Charcot-Marie-Tooth disease type 1,0050538,
Charcot-Marie-Tooth disease type 2,0050539,
Charcot-Marie-Tooth disease type 3,0050540,
Charcot-Marie-Tooth disease type 4,0050541,
Charcot-Marie-Tooth disease type X,0050542,
Charcot-Marie-Tooth disease intermediate type,0050543,
hypermethioninemia,0050544,
visceral heterotaxy,0050545,
congenital adrenal insufficiency,0050546,
familial medullary thyroid carcinoma,0050547,
hereditary sensory neuropathy,0050548,
Saldino-Noonan syndrome,0050549,
obsolete Majewski syndrome,0050550,
obsolete Verma-Naumoff syndrome,0050551,
JMP syndrome,0050553,
X-linked sideroblastic anemia with ataxia,0050554,
obsolete infantile onset spinocerebellar ataxia,0050556,
congenital muscular dystrophy,0050557,
Ullrich congenital muscular dystrophy,0050558,
Fukuyama congenital muscular dystrophy,0050559,
Walker-Warburg syndrome,0050560,
Lennox-Gastaut syndrome,0050561,
West syndrome,0050562,
nonsyndromic deafness,0050563,
autosomal dominant nonsyndromic deafness,0050564,
autosomal recessive nonsyndromic deafness,0050565,
X-linked nonsyndromic deafness,0050566,
orofacial cleft,0050567,
spondylocostal dysostosis,0050568,
Seckel syndrome,0050569,
congenital disorder of glycosylation type I,0050570,
congenital disorder of glycosylation type II,0050571,
cone-rod dystrophy,0050572,
2-hydroxyglutaric aciduria,0050573,
L-2-hydroxyglutaric aciduria,0050574,
D-2-hydroxyglutaric aciduria,0050575,
Senior-Loken syndrome,0050576,
Sensenbrenner syndrome,0050577,
occult macular dystrophy,0050578,
glycogen storage disease XV,0050579,
hereditary lymphedema,0050580,
brachydactyly,0050581,
obsolete Chlamydophila pneumoniae infectious disease,0050583,
gummatous syphilis,0050584,
congenital generalized lipodystrophy,0050585,
trichotillomania,0050587,
muscular dystrophy-dystroglycanopathy,0050588,
inflammatory bowel disease,0050589,
severe congenital neutropenia,0050590,
tooth agenesis,0050591,
asphyxiating thoracic dystrophy,0050592,
primary congenital glaucoma,0050593,
glycogen storage disease IX,0050594,
taeniasis,0050596,
intestinal schistosomiasis,0050597,
extrapulmonary tuberculosis,0050598,
abdominal tuberculosis,0050599,
ABCD syndrome,0050600,
ADULT syndrome,0050601,
triple-A syndrome,0050602,
acheiropody,0050603,
acrocapitofemoral dysplasia,0050604,
acrodermatitis enteropathica,0050605,
acrokeratosis verruciformis,0050606,
Askin's tumor,0050608,
oral cavity carcinoma in situ,0050610,
pharynx carcinoma in situ,0050611,
gall bladder carcinoma in situ,0050612,
bile duct carcinoma in situ,0050613,
bronchus carcinoma in situ,0050614,
respiratory system cancer,0050615,
malignant Leydig cell tumor,0050616,
malignant Sertoli cell tumor,0050617,
malignant Sertoli-Leydig cell tumor,0050618,
paranasal sinus cancer,0050619,
infiltrating renal pelvis transitional cell carcinoma,0050620,
respiratory system benign neoplasm,0050621,
reproductive organ benign neoplasm,0050622,
bladder benign neoplasm,0050623,
gastrointestinal system benign neoplasm,0050624,
biliary tract benign neoplasm,0050625,
gastrointestinal neuroendocrine tumor,0050626,
advanced sleep phase syndrome,0050628,
Aicardi-Goutieres syndrome,0050629,
Aland Island eye disease,0050630,
Allan-Herndon-Dudley syndrome,0050631,
oculocutaneous albinism,0050632,
ocular albinism,0050633,
alopecia universalis,0050634,
alternating hemiplegia of childhood,0050635,
familial visceral amyloidosis,0050636,
Finnish type amyloidosis,0050637,
transthyretin amyloidosis,0050638,
primary cutaneous amyloidosis,0050639,
anauxetic dysplasia 1,0050640,
Rh deficiency syndrome,0050641,
hypochromic microcytic anemia,0050642,
obsolete anonychia congenita,0050643,
arterial calcification of infancy,0050644,
arterial tortuosity syndrome,0050645,
distal arthrogryposis,0050646,
Arts syndrome,0050647,
atelosteogenesis,0050648,
atransferrinemia,0050649,
familial atrial fibrillation,0050650,
atrioventricular septal defect,0050651,
obsolete soft tissue cancer,0050652,
obsolete dysplastic nevus,0050653,
Baller-Gerold syndrome,0050654,
Bamforth-Lazarus syndrome,0050655,
pseudo-TORCH syndrome 1,0050656,
Bannayan-Riley-Ruvalcaba syndrome,0050657,
Bart-Pumphrey syndrome,0050658,
biotin-responsive basal ganglia disease,0050659,
Beare-Stevenson cutis gyrata syndrome,0050660,
vitelliform macular dystrophy,0050661,
bestrophinopathy,0050662,
Bethlem myopathy,0050663,
Bietti crystalline corneoretinal dystrophy,0050664,
fetal alcohol syndrome,0050665,
partial fetal alcohol syndrome,0050666,
alcohol-related neurodevelopmental disorder,0050667,
alcohol-related birth defect,0050668,
spastic cerebral palsy,0050669,
